,iyear,extended,vicinity,latitude,longitude,crit1,crit2,crit3,suicide,individual,nperps,nperpcap,claimed,nkill,nkillter,nwound,nwoundte,propextent,dayn,attacktype1_1,attacktype1_2,attacktype1_3,attacktype1_4,attacktype1_5,attacktype1_6,attacktype1_7,attacktype1_8,attacktype1_9,targtype1_1,targtype1_2,targtype1_3,targtype1_4,targtype1_5,targtype1_6,targtype1_7,targtype1_8,targtype1_9,targtype1_10,targtype1_11,targtype1_12,targtype1_13,targtype1_14,targtype1_15,targtype1_16,targtype1_17,targtype1_18,targtype1_19,targtype1_20,targtype1_21,targtype1_22,claimmode_1,claimmode_2,claimmode_3,claimmode_4,claimmode_5,claimmode_6,claimmode_7,claimmode_8,claimmode_9,claimmode_10
81,1970,False,False,39.751039,-104.93049599999999,True,True,True,False,False,2.0,1.0,False,0.0,0.0,0.0,0.0,3.0,62,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
82,1970,False,False,47.655335,-122.30351999999999,True,True,True,False,False,4.0,4.0,False,0.0,0.0,0.0,0.0,3.0,62,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
85,1970,False,False,39.735233,-104.98608200000001,True,True,True,False,False,2.0,1.0,False,0.0,0.0,0.0,0.0,3.0,63,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
86,1970,False,False,47.603559999999995,-122.329439,True,True,True,False,False,2.0,1.0,False,0.0,0.0,0.0,0.0,3.0,64,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
87,1970,False,False,39.73686,-104.981109,True,True,True,False,False,2.0,1.0,False,0.0,0.0,0.0,0.0,3.0,64,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
91,1970,False,False,37.869885,-122.27053899999999,True,True,True,False,False,2.0,1.0,False,0.0,0.0,0.0,0.0,3.0,68,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
92,1970,False,False,33.83651,-86.254749,True,True,True,False,False,2.0,1.0,False,0.0,0.0,0.0,0.0,3.0,68,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
93,1970,False,False,41.18188,-73.19126899999999,True,True,True,False,False,2.0,1.0,False,0.0,0.0,0.0,0.0,3.0,68,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
95,1970,False,False,39.538940000000004,-76.348479,True,True,True,False,False,2.0,0.0,False,2.0,2.0,0.0,0.0,3.0,68,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
96,1970,False,False,38.563122,-76.078063,True,True,True,False,False,1.0,1.0,False,0.0,0.0,0.0,0.0,3.0,69,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
